[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1985.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4790.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4645.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 3390.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1690.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4225.0 :  
[2021-08-10 20:59:44,173] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 3010.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 5658.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 6150.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4485.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 15040.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 924.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1000.0 :  
[2021-08-10 20:59:44,189] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4600.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 861.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 8760.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 9560.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4130.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1089.0 :  
[2021-08-10 20:59:44,204] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4130.0 :  
[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 3545.0 :  
[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4256.0 :  
[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 3070.0 :  
[2021-08-10 20:59:44,220] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1887.0 :  
